date,temp_max_f,temp_min_f,temp_mean_f,apparent_temp_max_f,apparent_temp_min_f,apparent_temp_mean_f,pressure_msl_mean_hpa,pressure_msl_max_hpa,pressure_msl_min_hpa,humidity_mean_pct,humidity_max_pct,humidity_min_pct,wind_speed_max_mph,wind_speed_mean_mph,precipitation_mm
2006-04-01,85.4,68.5,75.0,84.3,70.4,75.9,1014.8,1017.0,1011.7,77,98,47,16.7,12.6,0.6
2006-04-02,86.3,69.5,76.5,88.2,70.7,78.1,1013.4,1015.0,1011.8,71,95,45,13.4,10.1,0.0
2006-04-03,86.3,65.7,74.4,90.6,65.8,76.6,1017.5,1020.0,1015.0,69,98,44,10.0,6.6,0.0
2006-04-04,86.3,63.1,73.4,87.3,60.6,72.3,1017.9,1021.2,1014.2,53,70,38,12.2,7.3,0.0
2006-04-05,86.2,67.4,74.5,84.0,67.1,73.1,1012.1,1015.8,1008.0,64,89,36,15.7,12.9,0.0
2006-04-06,89.6,65.9,76.4,89.3,65.8,75.8,1005.1,1008.8,1001.7,65,92,35,17.6,12.3,0.0
2006-04-07,92.6,65.9,77.5,85.6,57.8,73.9,1006.1,1012.9,1003.0,44,98,7,18.0,8.9,0.0
2006-04-08,75.4,56.2,65.4,70.5,47.6,58.9,1018.0,1020.9,1014.1,42,55,31,15.5,11.8,0.0
2006-04-09,80.4,52.9,67.4,80.0,50.1,65.0,1018.5,1021.2,1015.5,48,82,25,7.3,4.6,0.0
2006-04-10,82.6,56.4,69.6,78.4,55.1,65.6,1016.4,1018.6,1013.5,49,89,21,12.9,9.1,0.0
2006-04-11,81.8,60.2,70.7,80.0,58.1,67.8,1017.7,1020.0,1015.8,59,88,36,12.9,10.4,0.0
2006-04-12,80.4,64.0,71.5,79.8,63.7,71.5,1021.4,1023.2,1019.6,68,86,47,10.3,8.2,0.1
2006-04-13,85.9,64.9,74.2,86.1,66.4,74.4,1020.9,1023.3,1017.8,65,98,34,11.3,8.0,0.0
2006-04-14,88.0,59.2,73.1,84.9,58.2,70.7,1015.2,1019.2,1010.5,58,94,28,15.4,11.3,0.0
2006-04-15,91.8,66.0,76.1,88.3,63.9,73.9,1008.4,1012.6,1004.0,63,89,28,17.0,15.3,0.0
2006-04-16,93.4,67.0,79.2,96.3,68.5,80.4,1007.1,1009.3,1004.6,62,93,35,15.0,10.1,0.0
2006-04-17,97.7,70.5,82.3,100.8,73.4,84.7,1006.7,1009.3,1003.6,61,93,28,13.2,9.1,0.0
2006-04-18,96.4,68.1,81.5,99.5,71.2,84.3,1006.1,1007.4,1002.3,62,94,31,12.3,8.1,0.0
2006-04-19,94.2,70.1,81.6,97.4,74.4,84.9,1008.4,1011.6,1005.1,61,89,34,13.0,7.0,0.0
2006-04-20,88.4,70.6,77.3,88.2,74.8,80.2,1010.7,1012.9,1007.7,69,90,38,13.8,7.3,3.1
2006-04-21,83.5,64.9,72.4,86.1,67.0,74.5,1014.0,1016.7,1011.3,71,97,40,9.2,5.3,18.0
2006-04-22,87.2,61.3,75.0,90.2,61.7,76.4,1016.0,1018.8,1013.1,60,89,36,10.4,6.0,0.0
2006-04-23,87.1,68.5,77.1,86.0,71.2,77.8,1013.9,1016.4,1011.0,66,91,42,13.3,10.5,0.0
2006-04-24,83.1,71.2,77.0,86.1,72.7,79.5,1010.3,1012.4,1008.1,74,89,58,11.8,10.4,0.5
2006-04-25,81.9,63.1,73.5,85.5,61.4,75.7,1011.3,1015.3,1008.7,77,92,53,12.1,8.8,8.1
2006-04-26,75.4,58.9,65.7,74.7,53.8,63.1,1017.0,1019.4,1015.0,62,86,43,12.1,8.8,2.8
2006-04-27,77.7,55.7,67.9,77.4,54.4,66.7,1016.4,1019.0,1013.1,63,89,44,12.2,6.6,0.0
2006-04-28,86.0,66.8,75.7,84.1,68.6,75.8,1009.2,1012.6,1004.6,73,93,49,19.5,14.1,0.2
2006-04-29,80.0,64.8,72.8,77.3,62.3,71.4,1008.7,1013.5,1004.6,61,92,33,19.9,11.0,7.0
2006-04-30,87.8,55.2,72.6,85.6,52.8,69.2,1013.4,1015.5,1010.5,44,83,17,12.9,7.4,0.0
2006-05-01,91.7,61.9,76.5,92.0,61.9,75.8,1013.3,1015.1,1011.0,57,90,28,12.9,10.3,0.0
2006-05-02,88.1,71.4,78.0,94.2,74.5,80.6,1014.2,1016.2,1011.1,71,94,47,14.6,10.3,3.0
2006-05-03,89.1,71.7,78.6,91.6,73.7,79.7,1013.3,1014.9,1010.7,66,89,40,14.8,11.6,0.7
2006-05-04,89.9,69.2,78.5,94.2,74.7,81.9,1012.8,1015.3,1008.6,69,92,43,11.1,6.8,4.9
2006-05-05,88.6,68.9,78.2,93.1,71.1,82.0,1011.5,1014.6,1008.3,69,98,39,11.9,6.2,0.2
2006-05-06,81.2,68.8,73.4,87.5,72.9,78.2,1009.5,1012.3,1008.0,82,97,60,11.0,4.5,16.9
2006-05-07,79.9,67.3,72.6,82.7,70.1,75.1,1011.8,1014.1,1009.5,77,93,58,9.0,6.9,0.2
2006-05-08,84.9,70.3,78.2,90.3,72.5,82.5,1009.3,1011.7,1006.5,73,90,57,9.0,6.7,0.3
2006-05-09,94.1,73.8,83.1,101.7,79.5,88.8,1005.4,1007.5,1002.7,71,98,45,13.2,8.9,0.0
2006-05-10,89.2,69.6,79.8,92.9,64.7,81.3,1008.0,1017.7,1003.8,66,94,45,19.5,12.7,0.0
2006-05-11,81.8,60.3,71.3,78.2,57.8,67.1,1019.1,1022.2,1016.5,41,68,19,12.1,8.6,0.0
2006-05-12,87.7,58.9,74.0,84.9,57.2,70.3,1014.6,1017.9,1010.5,37,65,18,12.3,6.7,0.0
2006-05-13,94.1,64.2,78.9,95.2,62.2,78.4,1010.2,1012.4,1006.8,53,77,32,14.4,10.6,0.0
2006-05-14,83.4,71.7,76.2,89.5,74.4,80.1,1012.2,1017.3,1008.4,78,90,64,13.8,8.2,0.8
2006-05-15,81.0,65.6,72.4,77.2,62.4,69.8,1019.9,1021.5,1017.5,52,95,26,13.7,9.5,0.0
2006-05-16,87.3,57.6,73.1,81.6,55.7,69.7,1017.8,1021.1,1013.6,42,76,17,13.6,7.1,0.0
2006-05-17,88.2,60.3,75.3,86.9,57.4,73.1,1014.9,1016.7,1012.5,37,62,18,7.4,4.5,0.0
2006-05-18,92.6,61.1,78.3,95.2,59.3,76.8,1013.5,1015.7,1010.6,36,66,17,7.7,4.3,0.0
2006-05-19,97.4,68.2,82.7,97.4,68.6,81.6,1011.7,1013.4,1009.1,44,73,20,14.5,9.0,0.0
2006-05-20,94.4,69.2,81.1,95.1,70.7,80.9,1011.8,1013.6,1009.6,53,84,28,14.0,10.8,0.0
2006-05-21,91.8,68.0,79.4,91.9,69.0,79.3,1012.0,1013.7,1009.3,56,91,26,12.0,10.1,0.0
2006-05-22,92.1,71.8,81.2,91.2,76.2,83.0,1013.5,1015.3,1011.4,60,92,29,12.3,9.0,0.0
2006-05-23,92.0,72.3,81.9,93.1,76.0,83.4,1015.0,1016.9,1013.3,60,91,36,13.2,10.5,0.0
2006-05-24,93.9,71.9,82.1,94.9,75.3,83.5,1014.7,1016.8,1011.7,59,88,33,13.2,10.2,0.0
2006-05-25,93.5,73.0,82.5,93.6,76.3,84.1,1012.1,1015.2,1008.0,61,90,33,13.0,10.6,0.0
2006-05-26,94.8,72.7,83.0,94.2,76.1,83.8,1009.3,1011.6,1005.6,60,91,32,14.7,12.8,0.0
2006-05-27,93.9,73.9,82.8,94.1,77.5,83.9,1008.8,1010.7,1005.5,62,89,36,15.4,13.2,0.3
2006-05-28,88.9,75.5,81.4,91.7,79.9,85.3,1011.2,1012.9,1009.5,71,89,51,14.1,10.8,1.4
2006-05-29,91.1,71.9,78.9,98.0,76.9,84.0,1013.2,1015.1,1011.2,77,96,49,11.8,8.4,4.8
2006-05-30,86.4,74.1,78.4,91.2,78.7,83.4,1014.3,1015.9,1012.1,76,90,52,11.6,6.7,1.2
2006-05-31,84.3,69.0,76.1,84.4,73.8,78.7,1016.2,1017.4,1014.6,71,97,45,13.8,7.5,0.5
2006-06-01,82.4,68.6,74.6,86.2,72.2,78.3,1016.8,1018.7,1014.9,76,93,54,8.9,5.6,8.1
